name,id,impf,category,qjif,qjci
ACTA MATERIALIA,ACTA MATER,9.209,MATERIALS SCIENCE;MULTIDISCIPLINARY,Q1,Q1
Machine Learning: Science and Technology,MACH LEARN-SCI TECHN,6.013,MULTIDISCIPLINARY SCIENCES,Q1,Q1
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,J AM CERAM SOC,4.186,MATERIALS SCIENCE; CERAMICS,Q1,Q1
Materials Advances,MATER ADV,nan,MATERIALS SCIENCE; MULTIDISCIPLINARY,nan,nan
International Journal of Applied Glass Science,INT J APPL GLASS SCI,2.087,MATERIALS SCIENCE; CERAMICS,Q2,Q2
Advanced Theory and Simulations,ADV THEOR SIMUL,4.105,MULTIDISCIPLINARY SCIENCES,Q2,Q2
Materials Horizons,MATER HORIZ,15.717,MATERIALS SCIENCE; MULTIDISCIPLINARY,Q1,Q1
Journal of Non-Crystalline Solids,J NON-CRYST SOLIDS,4.458,MATERIALS SCIENCE; CERAMICS,Q1,Q1
Heliyon,HELIYON,3.776,MULTIDISCIPLINARY SCIENCES,Q2,Q2
Materials,MATERIALS,3.748,MATERIALS SCIENCE; MULTIDISCIPLINARY,Q2,Q2
BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,6.069,BIOCHEMICAL RESEARCH METHODS,Q1,Q1
Frontiers in Materials,FRONT MATER,3.985,MATERIALS SCIENCE; MULTIDISCIPLINARY,Q2,Q3
Scientific Reports,SCI REP-UK,4.997,MULTIDISCIPLINARY SCIENCES,Q1,Q1